gbd_location_id,gbd_name,ihme_loc_id,location_level,ne_country_iso3,ne_country_uid,ne_state_uid,match_method,confidence,notes
1,Global,G,0,,,,manual,100,aggregate level - intentionally unmappable
4,"Southeast Asia, East Asia, and Oceania",S6,0,,,,manual,100,aggregate level - intentionally unmappable
5,East Asia,R3,0,,,,manual,100,aggregate level - intentionally unmappable
6,China,CHN,3,CHN,CHN,,iso3,100,
7,Democratic People's Republic of Korea,PRK,3,PRK,PRK,,iso3,100,
8,Taiwan,TWN,3,TWN,TWN,,iso3,100,
9,Southeast Asia,R5,0,,,,manual,100,aggregate level - intentionally unmappable
10,Cambodia,KHM,3,KHM,KHM,,iso3,100,
11,Indonesia,IDN,3,IDN,IDN,,iso3,100,
12,Lao People's Democratic Republic,LAO,3,LAO,LAO,,iso3,100,
13,Malaysia,MYS,3,MYS,MYS,,iso3,100,
14,Maldives,MDV,3,,,,manual,100,not in Natural Earth shapefile
15,Myanmar,MMR,3,MMR,MMR,,iso3,100,
16,Philippines,PHL,3,PHL,PHL,,iso3,100,
17,Sri Lanka,LKA,3,LKA,LKA,,iso3,100,
18,Thailand,THA,3,THA,THA,,iso3,100,
19,Timor-Leste,TLS,3,TLS,TLS,,iso3,100,
20,Viet Nam,VNM,3,VNM,VNM,,iso3,100,
21,Oceania,R17,0,,,,manual,100,GBD region miscoded as level 3
22,Fiji,FJI,3,FJI,FJI,,iso3,100,
23,Kiribati,KIR,3,,,,manual,100,not in Natural Earth shapefile
24,Marshall Islands,MHL,3,,,,manual,100,not in Natural Earth shapefile
25,Micronesia (Federated States of),FSM,3,,,,manual,100,not in Natural Earth shapefile
26,Papua New Guinea,PNG,3,PNG,PNG,,iso3,100,
27,Samoa,WSM,3,,,,manual,100,not in Natural Earth shapefile
28,Solomon Islands,SLB,3,SLB,SLB,,iso3,100,
29,Tonga,TON,3,,,,manual,100,not in Natural Earth shapefile
30,Vanuatu,VUT,3,VUT,VUT,,iso3,100,
31,"Central Europe, Eastern Europe, and Central Asia",S2,0,,,,manual,100,aggregate level - intentionally unmappable
32,Central Asia,R2,0,,,,manual,100,aggregate level - intentionally unmappable
33,Armenia,ARM,3,ARM,ARM,,iso3,100,
34,Azerbaijan,AZE,3,AZE,AZE,,iso3,100,
35,Georgia,GEO,3,GEO,GEO,,iso3,100,
36,Kazakhstan,KAZ,3,KAZ,KAZ,,iso3,100,
37,Kyrgyzstan,KGZ,3,KGZ,KGZ,,iso3,100,
38,Mongolia,MNG,3,MNG,MNG,,iso3,100,
39,Tajikistan,TJK,3,TJK,TJK,,iso3,100,
40,Turkmenistan,TKM,3,TKM,TKM,,iso3,100,
41,Uzbekistan,UZB,3,UZB,UZB,,iso3,100,
42,Central Europe,R8,0,,,,manual,100,aggregate level - intentionally unmappable
43,Albania,ALB,3,ALB,ALB,,iso3,100,
44,Bosnia and Herzegovina,BIH,3,BIH,BIH,,iso3,100,
45,Bulgaria,BGR,3,BGR,BGR,,iso3,100,
46,Croatia,HRV,3,HRV,HRV,,iso3,100,
47,Czechia,CZE,3,CZE,CZE,,iso3,100,
48,Hungary,HUN,3,HUN,HUN,,iso3,100,
49,North Macedonia,MKD,3,MKD,MKD,,iso3,100,
50,Montenegro,MNE,3,MNE,MNE,,iso3,100,
51,Poland,POL,3,POL,POL,,iso3,100,
52,Romania,ROU,3,ROU,ROU,,iso3,100,
53,Serbia,SRB,3,SRB,SRB,,iso3,100,
54,Slovakia,SVK,3,SVK,SVK,,iso3,100,
55,Slovenia,SVN,3,SVN,SVN,,iso3,100,
56,Eastern Europe,R9,0,,,,manual,100,aggregate level - intentionally unmappable
57,Belarus,BLR,3,BLR,BLR,,iso3,100,
58,Estonia,EST,3,EST,EST,,iso3,100,
59,Latvia,LVA,3,LVA,LVA,,iso3,100,
60,Lithuania,LTU,3,LTU,LTU,,iso3,100,
61,Republic of Moldova,MDA,3,MDA,MDA,,iso3,100,
62,Russian Federation,RUS,3,RUS,RUS,,iso3,100,
63,Ukraine,UKR,3,UKR,UKR,,iso3,100,
64,High-income,S1,0,,,,manual,100,aggregate level - intentionally unmappable
65,High-income Asia Pacific,R1,0,,,,manual,100,aggregate level - intentionally unmappable
66,Brunei Darussalam,BRN,3,BRN,BRN,,iso3,100,
67,Japan,JPN,3,JPN,JPN,,iso3,100,
68,Republic of Korea,KOR,3,KOR,KOR,,iso3,100,
69,Singapore,SGP,3,,,,manual,100,not in Natural Earth shapefile
70,Australasia,R6,0,,,,manual,100,aggregate level - intentionally unmappable
71,Australia,AUS,3,AUS,AUS,,iso3,100,
72,New Zealand,NZL,3,NZL,NZL,,iso3,100,
73,Western Europe,R10,0,,,,manual,100,GBD region miscoded as level 3
74,Andorra,AND,3,,,,manual,100,not in Natural Earth shapefile
75,Austria,AUT,3,AUT,AUT,,iso3,100,
76,Belgium,BEL,3,BEL,BEL,,iso3,100,
77,Cyprus,CYP,3,CYP,CYP,,iso3,100,
78,Denmark,DNK,3,DNK,DNK,,iso3,100,
79,Finland,FIN,3,FIN,FIN,,iso3,100,
